Country,EU member,Geographic Europe,Financial allocations,Humanitarian allocations,Military allocations,Total bilateral allocations,Financial commitments,Humanitarian commitments,Military commitments,Total bilateral commitments,GDP (2021),GDP (2021)2,Total bilateral commitments3,Total bilateral allocations4,Share in EU commitments,Share in EIB commitments,Share in total EU commitments,Share in total EU commitments5,Total bilateral and EU commitments,Total bilateral and EU commitments6,Specific weapons and equipment,Financial commitments with military purpose,Financial commitments (short term),Humanitarian commitments (short term),Military commitments (short term),Total bilateral commitments (short term),Total bilateral commitments (short term)7,Share in EU allocations,Share in EIB allocations,Share in total EU allocations,Share in total EU allocations8,Total bilateral and EU allocations,Total bilateral and EU allocations9
,,,€ billion,€ billion,€ billion,€ billion,€ billion,€ billion,€ billion,€ billion,US$ billion,€ billion,% 2021 GDP,% 2021 GDP,€ billion,€ billion,€ billion,% 2021 GDP,€ billion,% 2021 GDP,€ billion,€ billion,€ billion,€ billion,€ billion,€ billion,% 2021 GDP,€ billion,€ billion,€ billion,% 2021 GDP,€ billion,% 2021 GDP
Australia,0.0,0.0,0,0.1551196700302018,0.8578403512607058,1.0129600212909076,0,0.1551196700302018,0.8578403512607058,1.0129600212909076,1552.66736323606,1443.1335284283482,0.07019170446369413,0.07019170446369413,0,0,0,0,1.0129600212909076,0.07019170446369413,0.7915849728886222,0.06625537837208362,0,0.1551196700302018,0.8578403512607058,1.0129600212909076,0.07019170446369413,0,0,0,0,1.0129600212909076,0.07019170446369413
Austria,1.0,1.0,0.09,0.7142291891896477,0.0032556386286873218,0.807484827818335,0.09,0.7646291891896477,0.0032556386286873218,0.857884827818335,480.368403893364,446.4805315488094,0.1921438376814311,0.18085555153261157,3.2440479036501753,0.08183417133551585,3.325882074985691,0.7449108841203985,4.183766902804026,0.9370547218018296,0.0032556386286873218,0,0.09,0.13962918918964778,0.0032556386286873218,0.2328848278183351,0.05216013047880814,1.3196730660563853,0.08183417133551585,1.4015072373919013,0.3139010860182799,2.208992065210236,0.49475663755089144
Belgium,1.0,1.0,0.04856,0.24204,1.577985016531666,1.868585016531666,0.45856,0.18084,1.577285016531666,2.216685016531666,594.104177539525,552.1927479687006,0.40143319967275487,0.3383936177006043,4.265694539222259,0.1648537491009594,4.430548288323218,0.8023553921382449,6.6472333048548835,1.2037885918109998,0.318185016531666,1.2591,0.39481,0.17064,1.3962350165316662,1.961685016531666,0.3552536725170571,1.7352771471411852,0.1648537491009594,1.9001308962421446,0.344106456166253,3.7687159127738106,0.6825000738668573
Bulgaria,1.0,1.0,6e-05,0.0019555458723540683,0.2364889464351076,0.23850449230746165,6e-05,0.0019555458723540683,0.2364889464351076,0.23850449230746165,84.0563127343089,78.12651058119611,0.3052798474335882,0.3052798474335882,0.5354963581800007,0.006492275126424884,0.5419886333064257,0.6937320370185255,0.7804931256138873,0.9990118844521136,0.2364889464351076,0,6e-05,0.0019555458723540683,0.2364889464351076,0.23850449230746168,0.30527984743358827,0.21783899062226528,0.006492275126424884,0.22433126574869017,0.2871384682098977,0.46283575805615185,0.5924183156434859
Canada,0.0,0.0,5.159920207617528,0.48290031650971715,2.6340725069500586,8.276893031077304,8.78101968046875,0.48301035280054844,3.117289291318504,12.381319324587803,1988.3363317174199,1848.0679725972857,0.6699601696569105,0.44786734870173145,0,0,0,0,12.381319324587803,0.6699601696569105,1.284393425269469,1.8328958660490349,8.78101968046875,0.476365533494328,2.2408396164377833,11.498224830400869,0.6221754286581351,0,0,0,0,8.276893031077304,0.44786734870173145
Croatia,1.0,1.0,0.001,0.09152356048074428,0.24520104421389305,0.33772460469463733,0.001,0.09652356048074429,0.24520104421389305,0.34272460469463734,68.9550832801922,64.09060626470136,0.5347501368283933,0.526948681527207,0.4596496043763487,0.013522094025032077,0.4731716984013808,0.7382855709729579,0.8158963030960181,1.2730357078013512,0.11461325786705598,0.13058778634683707,0.001,0.09652356048074429,0.24520104421389305,0.34272460469463734,0.5347501368283933,0.18698466259897514,0.013522094025032077,0.20050675662400722,0.3128488998776075,0.5382313613186446,0.8397975814048145
Cyprus,1.0,1.0,0.001,0.003,0,0.004,0.001,0.003,0,0.004,28.4078675340035,26.403817765594848,0.015149324372372198,0.015149324372372198,0.20012577208433474,0.004092450557307877,0.2042182226416426,0.7734420243868919,0.2082182226416426,0.7885913487592642,0,0,0.001,0.003,0,0.004,0.015149324372372198,0.08141081731446433,0.004092450557307877,0.0855032678717722,0.3238291849718268,0.08950326787177221,0.338978509344199
Czechia,1.0,1.0,0,0.05461418786528352,1.2485631491179667,1.3031773369832502,0,0.07210936227523922,1.2485631491179667,1.3206725113932059,281.777887121451,261.8996998991086,0.5042665233682847,0.49758641857370284,1.8495642132360433,0.028091743291456577,1.8776559565274997,0.7169370401152912,3.198328467920706,1.221203563483576,1.1630975003492814,0.08546564876868534,0,0.07210936227523922,1.2485631491179667,1.3206725113932059,0.5042665233682847,0.752399517098063,0.028091743291456577,0.7804912603895195,0.29801151383151164,2.0836685973727698,0.7955979324052145
Denmark,1.0,1.0,0.12233588332926433,0.3820268104252044,7.54323606792517,8.04759876167964,0.13875810473683498,0.3378909325847518,8.997029454677003,9.473678491998589,398.30327276446,370.20473349238773,2.5590376445560463,2.173823842218678,2.576961996702393,0.08347018500807472,2.6604321817104677,0.7186380780744859,12.134110673709056,3.2776757226305326,0.26884124370682455,8.72818821097018,0.13875810473683498,0.3378909325847518,4.973301729724187,5.449950767045773,1.472145079192467,1.048303675008171,0.08347018500807472,1.1317738600162457,0.3057156642324557,9.179372621695885,2.4795395064511334
Estonia,1.0,1.0,0.01,0.05387138509760319,0.697988341420417,0.7618597265180201,0,0.17344594018220824,0.9574883414204169,1.130934281602625,37.191166151980006,34.56749340271401,3.271669913774632,2.2039773542220567,0.25404093442668974,0.0026253178641068723,0.2566662522907966,0.7425075613687537,1.3876005338934216,4.014177475143386,0.5574883414204169,0.4,0,0.07305844018220822,0.6574883414204169,0.7305467816026252,2.1133924091391236,0.10334341193342961,0.0026253178641068723,0.10596872979753648,0.30655601365997953,0.8678284563155566,2.510533367882036
EU (Commission and Council),0.0,1.0,46.38115,2.564651053158237,0,48.945801053158235,113.1369,2.564651053158237,0,115.70155105315824,17177.419592825,15965.628397457942,0.7246914945833283,0.3065698376203684,0,0,0,0,115.70155105315824,0.7246914945833283,0,0,37.845,2.564651053158237,0,40.409651053158235,0.2531040435564208,0,0,0,0,48.945801053158235,0.3065698376203684
Finland,1.0,1.0,0.1548,0.22124284939419583,2.3348,2.710842849394196,0.1548,0.3287428493941958,2.3641,2.847642849394196,297.301883523251,276.3285468196403,1.030527928499857,0.981021642748899,2.1182262086369312,0.04701685285991085,2.165243061496842,0.7835755973884584,5.012885910891038,1.8141035258883151,2.294,0.07010000000000005,0.1548,0.13448904594541797,2.354,2.643289045945418,0.9565747282964193,0.8616907513010426,0.04701685285991085,0.9087076041609534,0.3288504262840665,3.6195504535551493,1.3098720690329655
France,1.0,1.0,0.7994,0.5952232866962535,3.497234516639975,4.8918578033362285,0.7994,0.5952232866962535,6.082774506001888,7.477397792698142,2957.87975926352,2749.214387269746,0.2719830736854236,0.17793657075228494,21.647394588610986,0.5947254162278695,22.242120004838856,0.8090354869315077,29.719517797536998,1.0810185606169314,5.582774506001888,0.5,0.7994,0.5912232866962535,6.082774506001888,7.473397792698141,0.2718375775750249,8.806122608960482,0.5947254162278695,9.400848025188353,0.34194670552864254,14.292705828524582,0.5198832762809275
Germany,1.0,1.0,1.407,3.24312005,12.611969252768212,17.26208930276821,1.407,3.24312005,20.875604,25.52572405,4259.9349118216405,3959.4152912181803,0.6446841811874344,0.4359757194718829,25.645340948743243,0.5947254162278695,26.240066364971113,0.6627257924464377,51.765790414971114,1.3074099736338722,0.0803,20.795303999999998,1.407,3.24312005,15.67195,20.32207005,0.5132593717833417,10.432480260790534,0.5947254162278695,11.027205677018404,0.27850591226124455,28.289294979786614,0.7144816317331274
Greece,1.0,1.0,0,0,0.14854554321491809,0.14854554321491809,0,0,0.14854554321491809,0.14854554321491809,214.873879833648,199.71547526131423,0.07437858434383028,0.07437858434383028,1.5123659945186028,0.04471621741384256,1.5570822119324452,0.779650254891419,1.7056277551473633,0.8540288392352493,0.14854554321491809,0,0,0,0.14854554321491809,0.14854554321491809,0.07437858434383028,0.6152278660065684,0.04471621741384256,0.659944083420411,0.33044213652293025,0.8084896266353291,0.4048207208667606
